,Country,Geographic coordinates,Map references,Geography: Area - total,Military service age and obligation,Terrorism: Terrorist group(s),Military and Security: Military - note,LATITUDE,LONGITUDE,2020 Real GDP,2019 Real GDP,2018 Real GDP,GDP Growth Rate Est 1,GDP Growth Rate Est 2,GDP Growth Rate Est 3,GDP per Capita Est 1,GDP per Capita Est 2,GDP per Capita Est 3,Econ: Current Acct Bal Est 1,Econ: Current Acct Bal Est 2,Exports Est 1,Exports Est 2,Top Export - Country & %,Foreign Exchange & Gold - latest est,Total Population Electrification (2020 - 2019),Unemployment Rate (recent),Percent Population below poverty line,Population below poverty line - Year Recorded,Household income or consumption by % (-highest 10%),Household income or consumption by % (year recorded),Population (as of 2022),Percent of People 14 yrs and under,males 14 yrs and under,females 14 yrs and under,Percent of People 15-24 yrs and under,males between 15-24 years,females between 15-24 years,Percent of People 25-54 yrs,males 25-54 yrs,females 25-54 yrs,Percent of People 55-64,males 55-64 yrs,females 55-64 yrs,Median Age (in years),Male Median Age (in years),Female Median Age (in years),Population growth rate (2022 est),"Birth rate (births/1,000 population, 2022 est)","Death rate (births/1,000 population, 2022 estimates)","Net migration rate (migrant(s)/1,000 population, 2022 est.)",Urban Population (- % of total pop as of 2022),Sex ratio at Birth (male(s)/female),65 & Older Sex Ratio (male(s)/female),"Total Pop Sex Ratio (male(s)/female, as of 2022","Total Infant Mortality Rate (deaths/1,000 live births)",Total Pop Life expectancy at birth (in years),Male Life expectancy at birth (in years),"Female Life expectancy at birth (in years, 2022 est.)",Total fertility rate (children born/woman (2022 est.),Adult Obesity Prev Rate in percentages (2016 est.),Total Tobacco use in percentages (2020 est.),Total Internet Users (2020 est.),Internet users - % of Pop (2020 est.),2021 Military expenditures (as percent of GDP),2020 Military expenditures (as percent of GDP),2019 Military expenditures (as percent of GDP)
192,Russia,"60 00 N, 100 00 E",Asia,"17,098,242 sq km","18-27 years of age for compulsory service (males only); 18-40 for voluntary/contractual service; women and non-Russian citizens (18-30) may volunteer; males are registered for the draft at 17 years of age; 1-year service obligation (Russia offers the option of serving on a 2-year contract instead of completing a 1-year conscription period); reserve obligation for non-officers to age 50; enrollment in military schools from the age of 16, cadets classified as members of the armed forces (2022)note(s) - in May 2022, Russia's parliament approved a law removing the upper age limit for contractual service in the military; in the spring of 2022, Russia drafted 134,500 conscripts into the military; as of 2021, conscripts reportedly comprised about 30% of the Russian military's active duty personnel; in April of 2019, the Russian Government pledged its intent to end conscription as part of a decade-long effort to shift from a large, conscript-based military to a smaller, more professional force; an existing law allows for a 21-month alternative civil service in hospitals, nursing homes and other facilities for those who view military duty as incompatible with their beliefs, but military conscription offices reportedly often broadly ignore requests for such service; as of 2020, women made up about 5% of the active duty military",Islamic State of Iraq and ash-Sham (ISIS),"as of 2022, Russian military forces continued to conduct active combat operations in Syria; Russia intervened in the Syrian civil war at the request of the ASAD government in September 2015; Russian assistance included air support, special operations forces, military advisors, private military contractors, training, arms, and equipmentRussia is the leading member of the Collective Security Treaty Organization (CSTO) and contributes approximately 8,000 troops to CSTO's rapid reaction force (2022)",60 00 N, 100 00 E,3875690000,3993550000000,3993550000000,1.34% (2019 est,2.54% (2018 es,1.83% (2017 e,"26,500 (2020 est.)","27,200 (2019 est.)","26,700 (2018 es",$65.311 billion (2019 est.,$115.68 billion (2018 est.),379.12 billion (2020 est.,481.76 billion (2019 et,"China 14%, Neth",432.7 billion (31 December 2017 est.),100%,4.6%,12.6%, 2018 ,32.2, 2012 ,"142,021,981",17.24," 12,551,61",11881297,9.54%,6920070,6602776,43.38,30240260,31245104,14.31,8808330,31245104,40.3,37.5,43.2,-0.22,9.45 ,13.36,1.7 ,75.1%,1.06 ,0.36 ,0.86,6.42 ,72.44,66.92,78.3 ,1.6 ,23.1%,26.8%,12248846,85% ,4% ,)4%,3.8%
215,South Africa,"29 00 S, 24 00 E",Africa,"1,219,090 sq km","18-26 years of age for voluntary military service; women are eligible to serve in noncombat roles; 2-year service obligation (2021)note - in 2019, women comprised about 30% of the SANDF",Islamic State of Iraq and ash-Sham (ISIS),"the SANDF was created in 1994 to replace the South African Defense Force (SADF); the SANDF was opened to all South Africans who met military requirements, while the SADF was a mostly white force (only whites were subject to conscription) with non-whites only allowed to join in a voluntary capacity; the SANDF also absorbed members of the guerrilla and militia forces of the various anti-apartheid opposition groups, including the African National Congress, the Pan Africanist Congress, and the Inkatha Freedom Party, as well as the security forces of the formerly independent Bantustan homelands; the SANDF is one of Africa’s most capable militaries; it participated regularly in African and UN peacekeeping missions and had the ability to independently deploy throughout Africa; over the past decade, however, its operational readiness and modernization programs have been hampered by funding shortfalls (2022)",29 00 S, 24 00 E,680.04 ,730.91  ,730.91  ,0.06% (2019 est,0.7% (2018 es,)1.4% (2017 e,"11,500 (2020 est.)","12,500 (2019 est.)","12,600 (2018 es",-$10.626 billion (2019 est,)-$13.31 billion (2018 est.),93.01 billion (2020 est.),104.85 billion (2019 et.,"China 15%, Unit",50.72 billion (31 December 2017 est.),94% ,28.5,55.5%, 2014 ,51.3, 2011 ,"57,516,665 ",27.94," 7,894,742",7883266,16.8%,4680587,4804337,42.37,12099441,11825193,6.8% ,1782902,11825193,28 y,27.9,28.1,0.93%,18.56,9.26 ,0 ,68.3%,1.02 ,0.58 ,0.98,25.87,65.32,63.99,66.68,2.18 ,28.3%,20.3%,41516083,70% ,0.8,1.1%,21%
217,Spain,"40 00 N, 4 00 W",Europe,"505,370 sq km","18-26 years of age for voluntary military service by a Spanish citizen or legal immigrant, 2-3 year obligation; women allowed to serve in all SAF branches, including combat units; no conscription (abolished 2001), but Spanish Government retains right to mobilize citizens 19-25 years of age in a national emergency (2021)note - as of 2019, women comprised about 13% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS); al-Qa’ida,"Spain joined NATO in 1982, but refrained from participating in the integrated military structure until 1996the Spanish Marine Corps, established in 1537, is the oldest marine corps in the world",40 00 N, 4 00 W,1714860000,1923330000000,1923330000000,1.95% (2019 est,2.43% (2018 es,2.97% (2017 e,"36,200 (2020 est.)","40,800 (2019 est.)","40,300 (2018 es",$29.603 billion (2019 est.,$27.206 billion (2018 est.),392.85 billion (2020 est.,486.15 billion (2019 et,"France 15%, Ger",69.41 billion (31 December 2017 est.),100%,14.1,20.7%, 2018 ,24% ,2011,"47,163,418 ",15.02," 3,861,522",3650085,9.9% ,557504,2392498,43.61,11134006,10675873,12.99,3177080,10675873,43.9,42.7,45.1,0.13%,7.13 ,10.22,4.35 ,81.3%,1.05 ,0.66 ,0.95,2.47 ,82.55,79.84,85.4 ,1.27 ,23.8%,27.7%,44047980,93% ,1% ,)1%,.9%(2
219,Sri Lanka,"7 00 N, 81 00 E",Asia,"65,610 sq km",18-22 years of age for voluntary military service (men and women); no conscription (2022),Islamic State of Iraq and ash-Sham (ISIS); Liberation Tigers of Tamil Eelam (LTTE),"Sri Lanka traditionally has had close security ties to India; India participated in the counter-insurgency war against the LTTE from 1987-1991, losing over 1,000 soldiers in the conflict; the Sri Lankan and Indian militaries continue to conduct exercises together, and India trains over 1,000 Sri Lankan soldiers per year; however, since the end of the war with LTTE, Sri Lanka has also increased military ties with China, including acquiring military equipment, hosting naval port calls, and sending personnel to China for training (2022)",7 00 N, 81 00 E,274.8  ,84.97   ,84.97   ,2.29% (2019 est,3.32% (2018 es,3.58% (2017 e,"12,500 (2020 est.)","13,100 (2019 est.)","12,900 (2018 es",-$10 million (2019 est.)-$,7 million (2018 est.),19.41 billion (2019 est.),20.26 billion (2018 et.),United States 2,7.959 billion (31 December 2017 est.),100%,4.83,4.1% ,2016 ,32.2, 2012 ,"23,187,516 ",23.11," 2,696,379",2592450,14.58,1700442,1636401,41.2%,4641842,4789101,10.48,1110481,4789101,33.7,32.3,35.1,0.61%,13.8 ,6.49 ,-1.22,19% o,1.04 ,0.61 ,0.95,8.2 d,78 ye,74.57,81.56,1.98 ,5.2% ,22% ,7671650 ,35% ,1.9,2%,2%
223,Sweden,"62 00 N, 15 00 E",Europe,"450,295 sq km","18-47 years of age for male and female voluntary military service; service obligation: 7.5 months (Army), 7-15 months (Navy), 8-12 months (Air Force); after completing initial service, soldiers have a reserve commitment until age 47; compulsory military service, abolished in 2010, was reinstated in January 2018; conscription is selective, includes both female and male (age 18), and requires 9-12 months of service (2021)note(s) - Sweden conscripts about 5,500 men and women each year; as of 2021, women made up about 11% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS),"Sweden maintains a policy of military non-alignment, but cooperates with NATO and regional countries; it joined NATO’s Partnership for Peace program in 1994 and has contributed to NATO-led missions, including those in Afghanistan, Iraq, and Kosovo the Swedish military cooperates closely with the military forces of other Nordic countries through the Nordic Defense Cooperation (NORDEFCO), which consists of Denmark, Finland, Iceland, Norway, and Sweden; areas of cooperation include armaments, education, human resources, training and exercises, and operations; NORDEFCO was established in 2009",62 00 N, 15 00 E,524.75 ,539.96  ,539.96  ,1.29% (2019 est,2.06% (2018 es,2.82% (2017 e,"50,700 (2020 est.)","52,500 (2019 est.)","52,300 (2018 es",$22.339 billion (2019 est.,$13.902 billion (2018 est.),240.08 billion (2020 est.,254.53 billion (2019 et,"Germany 10%, No",62.22 billion (31 December 2017 est.),100%,6.78,17.1%, 2018 ,24% ,2012,"10,483,647 ",17.71," 928,413",878028,10.8%,569082,32492,39.01,2016991,1962617,11.9%,610521,1962617,41.1,40.1,42.1,0.5% ,10.83,9.46 ,3.6 ,88.5%,1.06 ,0.69 ,1.01,2.3 d,82.7 ,80.94,84.58,1.67 ,20.6%,24% ,9835769 ,95% ,1.3,1.2%,21.1%
224,Switzerland,"47 00 N, 8 00 E",Europe,"41,277 sq km","18-30 years of age generally for male compulsory military service; 18 years of age for voluntary male and female military service; every Swiss male has to serve at least 245 days in the armed forces; conscripts receive 18 weeks of mandatory training, followed by six 19-day intermittent recalls for training during the next 10 years (2021)note - conscientious objectors can choose 390 days of community service instead of military service",Islamic State of Iraq and ash-Sham (ISIS),"Switzerland has long maintained a policy of military neutrality, but does periodically participate in EU, NATO, Organization for Security and Cooperation in Europe (OSCE), and UN military operations; Swiss law excludes participation in combat operations for peace enforcement, and Swiss units will only participate in operations under the mandate of the UN or OSCE; Switzerland joined NATO’s Partnership for Peace program in 1996; it contributed to the NATO-led Kosovo peace-support force (KFOR) in 1999 and as of 2022, continued doing so with up to 165 personnel; Switzerland also provided a small number of staff officers to the NATO mission in Afghanistan from 2004-2007",47 00 N, 8 00 E,590.71 ,608.16  ,608.16  ,1.11% (2019 est,3.04% (2018 es,1.65% (2017 e,"68,400 (2020 est.)","70,900 (2019 est.)","70,700 (2018 es",$79.937 billion (2019 est.,$63.273 billion (2018 est.),470.91 billion (2020 est.,,"Germany 16%, Un",811.2 billion (31 December 2017 est.),100%,2.31,16% ,2018 ,19% ,2007,"8,508,698 ",15.34," 664,255",625252,10.39,446196,426708,42.05,1768245,1765941,13.48,569717,1765941,42.7,41.7,43.7,0.65%,10.36,8.4 d,4.52 ,74.1%,1.06 ,0.64 ,0.98,3.58 ,83.23,80.91,85.67,1.58 ,19.5%,25.5%,8118367 ,94% ,0.7,0.8%,20.7%
235,Tunisia,"34 00 N, 9 00 E",Africa,"163,610 sq km","men 20-23 years of age for compulsory service, 1-year service obligation; individuals engaged in higher education or vocational training programs prior to their military drafting are allowed to delay service until they have completed their programs; 18-23 years of age for voluntary service; women may volunteer (2022)note(s) - as of 2021, approximately 20-25,000 active military personnel were conscripts; women have been allowed in the service since 1975 as volunteers only, although as recently as 2018, the Tunisian Government has discussed the possibility of conscripting women; as of 2018, women constituted less than 7% of the military and served in all three services",Ansar al-Sharia in Tunisia; Islamic State of Iraq and ash-Sham (ISIS) network in Tunisia; al-Qa'ida in the Islamic Maghreb,"as of 2022, the Tunisian military’s primary operational areas of focus were counter-terrorism, counterinsurgency, and border security; it was conducting counter-terrorism and counterinsurgency operations against al-Qa’ida in the Islamic Maghreb (AQIM) and Islamic State of ash-Sham (ISIS)-linked militants who have been fighting a low-intensity insurgency, mostly in the mountainous region along the border with Algeria, particularly the Chaambi Mountains near the city of Kasserine; the military maintained the lead role for security in this area and also routinely conducted joint operations with Algerian security forces against these groups, as well to counter smuggling and trafficking activities; the military in recent years also has increased its role in securing the southern border against militant activity, smuggling, and trafficking from war-torn Libya; since 2015, Tunisia has constructed a complex structure of berms, trenches, and water-filled moats, complemented by electronic surveillance equipment such as motion detectors, ground surveillance radars, and infrared sensors along the 220-kilometer border with Libya; in the remote southern areas of the border with Libya, buffer/exclusion zones have also been established where the military has the lead for counter-terrorism efforts; outside of these border areas, the Ministry of Interior has the lead responsibility for counter-terrorism in Tunisia, particularly for urban areas; the National Police Anti-Terrorism Brigade (BAT) and the National Guard Special Unit have the lead for MOI counterterrorism operationsTunisia has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments",34 00 N, 9 00 E,114.97 ,125.78  ,125.78  ,2% (2017 est.)1,.1% (2016 es1,2% (2015 e,"9,700 (2020 est.)","10,800 (2019 est.)","10,800 (2018 es",-$4.191 billion (2017 est.,-$3.694 billion (2016 est.),19.17 billion (2019 est.),19.42 billion (2018 et.),"France 29%, Ita",5.594 billion (31 December 2017 est.),100%,15.5,15.2%, 2015 ,27% ,2010 ,"11,896,972 ",25.28," 1,529,834",1433357,12.9%,766331,45888,42.85,2445751,2576335,10.12,587481,2576335,32.7,32 y,33.3,0.69%,14.62,6.36 ,-1.33,70.2%,1.06 ,0.78 ,0.98,11.87,76.82,75.14,78.6 ,2 hi,26.9%,24.6%,8509405 ,72% ,3% ,)3%,3.8%
236,Turkey (Turkiye),"39 00 N, 35 00 E",Middle East,"783,562 sq km","President Erdoğan on 25 June 2019 signed a new law cutting the men’s mandatory military service period in half, as well as making paid military service permanent; with the new system, the period of conscription was reduced from 12 months to six months for privates and non-commissioned soldiers (the service term for reserve officers chosen among university or college graduates will remain 12 months); after completing six months of service, if a conscripted soldier wants to and is suitable for extending his military service, he may do so for an additional six months in return for a monthly salary; under the new law, all male Turkish citizens over the age of 20 will be required to undergo a one month military training period, but they can obtain an exemption from the remaining five months of their mandatory service by paying 31,000 Turkish Liras (2021)note - as of 2019, women made up about .3% of the military's full-time personnel",Islamic State of Iraq and ash-Sham (ISIS); Islamic Movement of Uzbekistan; Islamic Revolutionary Guard Corps/Qods Force; Kurdistan Workers' Party; al-Qa'ida; Revolutionary People's Liberation Party/Front,"Turkey has been a member of NATO since 1952 and hosts NATO's Land Forces Command in Izmir, as well as the AN/TPY-2 radar as part of NATO's missile defensesunder a long-range (2033) strategic plan, the Turkish Armed Forces continued efforts to modernize its equipment and force structure; Land Forces sought to produce a 20-30% smaller, more highly trained force characterized by greater mobility and firepower and capable of joint and combined operationsthe Turkish Navy is a regional naval power that wants to develop the capability to project power beyond Turkey's coastal waters; it is planning to launch new frigates, submarines, and a light aircraft carrier/amphibious assault ship in the next few years, adding to its current force of about 16 frigates and 12 submarines; the Navy is heavily involved in NATO, multinational, and UN operations; its roles include control of territorial waters and security for sea lines of communications the Turkish Air Force adopted an ""Aerospace and Missile Defense Concept"" in 2002 and is developing an integrated missile defense system; in a controversial move that complicated its relationship with NATO, it purchased the Russian S-400 air defense system for an estimated $2.5 billion in 2019; Air Force priorities include attaining a modern deployable, survivable, and sustainable force structure, and establishing a sustainable command and control system in recent years, Turkey has taken on a greater level of international peacekeeping responsibilities, including keeping a substantial force under NATO in Afghanistan until withdrawing in 2021; Turkey also has built expeditionary military bases in Qatar, Somalia, northern Cyprus, and Sudanthe military has a substantial stake in Turkey's economy through a holding company that is involved in the automotive, energy, finance, and logistics sectors, as well as iron and steel production (2022)",39 00 N, 35 00 E,2393960000,2352640000000,2352640000000,0.98% (2019 est,3.04% (2018 es,7.54% (2017 e,"28,400 (2020 est.)","28,200 (2019 est.)","28,300 (2018 es",$8.561 billion (2019 est.),$20.745 billion (2018 est.),203.29 billion (2020 est.,245.84 billion (2019 et,"Germany 9%, Uni",107.7 billion (31 December 2017 est.),100%,13.6,14.4%, 2018 ,30.3, 2008,"83,047,706 ",23.41," 9,823,553",9378767,15.67,6564263,6286615,43.31,17987103,17536957,9.25%,3764878,17536957,32.2,31.7,32.8,0.67%,14.28,6.05 ,-1.54,77% o,1.05 ,0.61 ,1.01,19.35,76.21,73.84,78.7 ,1.93 ,32.1%,30.7%,65784472,78% ,1.6,1.9%,21.9%
240,Uganda,"1 00 N, 32 00 E",Africa,"241,038 sq km",18-25 years of age for voluntary military duty (men and women); 9-year service obligation (2021),al-Shabaab; Islamic State of Iraq and ash-Sham - Democratic Republic of Congo (ISIS-DRC),"the UPDF, which is constitutionally granted seats in parliament, is widely viewed as a key constituency for MUSEVENI; it has been used by MUSEVENI and the NRM to break up rallies, raid opposition offices, and surveil rival candidatesas of 2022, the UPDF was conducting operations along the border with the Democratic Republic of the Congo (including cross-border operations) against a Congo-based (and formerly based in western Uganda) Ugandan rebel group, the Allied Democratic Front (ADF), which was designated as a Foreign Terrorist Organization by the US State Department in March 2021 as the Islamic State of Iraq and ash-Sham in the Democratic Republic of the Congo (ISIS-DRC; see Appendix T); in addition, elements of the UPDF were deployed in the northeast region of Karamoja against cattle rustlers and criminal gangs beginning in 2012, the UPDF led regional efforts to pursue the Lord’s Resistance Army (LRA), a small, violent group of Ugandan origin that conducted widespread attacks against civilians in much of Central Africa; the UPDF withdrew from the mission in 2017 after declaring that the LRA no longer posed a security threat Uganda intervened in the South Sudan civil war in 2013-2016 and UPDF forces have clashed with South Sudanese forces along the border as recently as 2020the military traces its history back to the formation of the Uganda Rifles in 1895; the Uganda Rifles were merged with the Central Africa Regiment and the East Africa Rifles to form the King’s African Rifles (“KAR”) in 1902, which participated in both world wars; the UPDF was established in 1995",1 00 N, 32 00 E,99.61  ,6.84   ,6.84   ,4.8% (2017 est.,)2.3% (2016 es.,5.7% (2015 e,"2,200 (2020 est.)","2,200 (2019 est.)2",")2,100 (2018 es",-$1.212 billion (2017 est.,-$707 million (2016 est.),6.12 billion (2019 est.) ,5.63 billion (2018 et.) n,United Arab Emi,3.654 billion (31 December 2017 est.),29% ,9.4%,21.4%, 2016 ,36.1, 2009 ,"46,205,893 ",48.21," 10,548,91",10304876,20.25,4236231,4521698,26.24,5202570,6147304,2.91%,579110,6147304,15.7,14.9,16.5,3.27%,40.94,5.02 ,-3.26,26.2%,1.03 ,0.71 ,0.95,30.45,68.96,66.71,71.27,5.36 ,5.3% ,8.4% ,9148200 ,20% ,2.5,2.5%,201.7%
243,United Kingdom,"54 00 N, 2 00 W",Europe,"243,610 sq km","slight variations by service, but generally 16-36 years of age for enlisted (with parental consent under 18) and 18-29 for officers; minimum length of service 4 years; women serve in military services including ground combat roles; conscription abolished in 1963 (2021)note - as of 2019, women made up about 11% of the military's full-time personnel",Continuity Irish Republican Army; Islamic State of Iraq and ash-Sham (ISIS); New Irish Republican Army,"the UK is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949; the UK is also a member of the Five Powers Defense Arrangements (FPDA), a series of mutual assistance agreements reached in 1971 embracing Australia, Malaysia, New Zealand, Singapore, and the UK; the FPDA commits the members to consult with one another in the event or threat of an armed attack on any of the members and to mutually decide what measures should be taken, jointly or separately; there is no specific obligation to intervene militarily in 2010, France and the UK signed a declaration on defense and security cooperation that included greater military interoperability and a Combined Joint Expeditionary Force (CJEF), a deployable, combined Anglo-French military force for use in a wide range of crisis scenarios, up to and including high intensity combat operations; the CJEF has no standing forces, but would be available at short notice for UK-French bilateral, NATO, EU, UN, or other operations; combined training exercises began in 2011; as of 2020, the CJEF was assessed as having full operating capacity with the ability to rapidly deploy over 10,000 personnel capable of high intensity operations, peacekeeping, disaster relief, and humanitarian assistancein 2014, the UK led the formation of the Joint Expeditionary Force (JEF), a pool of high-readiness military forces from Baltic and Scandinavian countries able to respond to a wide range of contingencies both in peacetime and in times of crisis or conflict; its principal geographic area of interest is the High North, North Atlantic, and Baltic Sea regions, where the JEF can complement national capabilities or NATO’s deterrence posture, although it is designed to be flexible and prepared to respond to humanitarian crises further afield; the JEF consists of 10 countries (Denmark, Estonia, Finland, Iceland, Latvia, Lithuania, the Netherlands, Norway, Sweden, and the UK) and was declared operational in 2018; most of the forces in the pool are British, and the UK provides the most rapidly deployable units as well as the command and control elementsthe British Armed Forces were formed in 1707 as the armed forces of the Kingdom of Great Britain when England and Scotland merged under the terms of the Treaty of Union; while the origins of the armed forces of England and Scotland stretch back to the Middle Ages, the first standing armies for England and Scotland were organized in the 1600s while the navies were formed in the 1500s; the Royal Marines were established in 1755; the Royal Air Force was created in April 1918 by the merger of the British Army's Royal Flying Corps and the Admiralty's Royal Naval Air Service (2022)",54 00 N, 2 00 W,2797980000,3101640000000,3101640000000,1.26% (2019 est,1.25% (2018 es,1.74% (2017 e,"41,600 (2020 est.)","46,400 (2019 est.)","46,000 (2018 es",-$121.921 billion (2019 es,.)-$104.927 billion (2018 est.),741.95 billion (2020 est.,879.92 billion (2019 et,United States 1,150.8 billion (31 December 2017 est.),100%,3.17,18.6%, 2017 ,31.1, 2012,"67,791,400 ",17.63," 5,943,435",5651780,11.49,3860435,3692398,39.67,13339965,12747598,12.73,4139378,12747598,40.6,39.6,41.7,0.53%,10.79,9.07 ,3.59 ,84.4%,1.05 ,0.73 ,0.99,3.82 ,81.94,79.95,84.04,1.63 ,27.8%,15.4%,63854528,95% ,2.5,2.3%,22.1%
244,United States,"38 00 N, 97 00 W",North America,"9,833,517 sq km","18 years of age (17 years of age with parental consent) for male and female voluntary service; no conscription  (currently inactive, but males aged 18-25 must register with Selective Service in case conscription is reinstated in the future); maximum enlistment age 34 (Army), 39 (Air Force), 39 (Navy), 28 (Marines), 31 (Coast Guard); 8-year service obligation, including 2-5 years active duty (Army), 2 years active (Navy), 4 years active (Air Force, Marines, Coast Guard); all military occupations and positions open to women (2021)note(s) - in 2020, women comprised 17.2 % of the total US military (16.9% of enlisted; 18.9% officers; highest was Air Force with women comprising 21.1% of its total personnel)- a small number of American women were involved in combat during the Revolutionary (1775-1783), Mexican (1846-1848), and Civil (1861-1865) Wars, but they had to disguise themselves as men and enlist under aliases; the first official US military organization for women was the US Army Nurse Corps, established in 1901; during World War I, the US Navy and Marine Corps allowed women to enlist; nearly 350,000 women served in the US military during World War II; the 1991 Gulf War was the first war where women served with men in integrated units within a warzone; in 2015, female service members were allowed to serve in direct combat roles",Hizballah; Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (ISIS); al-Qa'ida,"the US is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949the US military has 11 regional- or functionally-based joint service ""combatant"" commands: Africa Command; Central Command, Cyber Command, European Command, Indo-Pacific Command, Northern Command, Southern Command, Space Command, Special Operations Command, Strategic Command, and Transportation CommandCongress officially created the US military in September 1789; the US Army was established in June 1775 as the Continental Army; after the declaration of independence in July 1776, the Continental Army and the militia in the service of Congress became known collectively as the Army of the United States; when Congress ordered the Continental Army to disband in 1784, it retained a small number of personnel that would form the nucleus of the 1st American Regiment for national service formed later that year; both the US Navy and the US Marines were also established in 1775, but the Navy fell into disuse after the Revolutionary War, and was reestablished by Congress in 1794; the first US military unit devoted exclusively to aviation began operations in 1913 as part of the US Army; the Army Air Corps (AAC) was the US military service dedicated to aerial warfare between 1926 and 1941; the AAC became the US Army Air Forces in 1941 and remained as a combat arm of the Army until the establishment of the US Air Force in 1947",38 00 N, 97 00 W,19846720000,205635900000,205635900000,2.16% (2019 est,3% (2018 es,.33% (2017 e,"60,200 (2020 est.)","62,600 (2019 est.)","61,600 (2018 es",-$480.225 billion (2019 es,.)-$449.694 billion (2018 est.),"2,127,250,000,000 (2020 e","lar2,528,270,000,000 (20","Canada 17%, Mex",123.3 billion (31 December 2017 est.),100%,3.89,15.1%, 2010 ,30% ,2007 ,"337,341,954",18.46," 31,374,55",30034371,12.91,2193136,21006463,38.92,64893670,64564565,12.86,20690736,64564565,38.5,37.2,39.8,0.69%,12.28,8.38 ,3.02 ,83.1%,1.05 ,0.69 ,0.97,5.17 ,80.59,78.36,82.79,1.84 ,36.2%,23% ,30166598,91% ,3.6,3.7%,23.4%
246,Uzbekistan,"41 00 N, 64 00 E",Asia,"447,400 sq km",18-27 years of age for compulsory military service; 1-year conscript service obligation for males (conscripts have the option of paying for a shorter service of one month while remaining in the reserves until the age of 27); Uzbek citizens who have completed their service terms in the armed forces have privileges in employment and admission to higher educational institutions (2022),Islamic Jihad Union; Islamic Movement of Uzbekistan; Islamic State of Iraq and ash-Sham - Khorasan (ISIS-K),"the Uzbek armed forces were established in January 1992, following the dissolution of the Soviet Union, when the newly-established Ministry for Defense Affairs assumed jurisdiction over all former Soviet ground, air, and air defense units, formations, and installations then deployed on its soil; the building hosting the headquarters for the ex-Soviet Turkestan Military District became the headquarters for the Uzbek armed forces; all former Soviet troops departed Uzbekistan by 1995; as of 2022, Uzbekistan continued to maintain bilateral defense ties with Russia based on a 2005 mutual security agreement as of 2022, Uzbekistan was not part of the Russian-sponsored Collective Security Treaty Organization (CSTO) that is comprised of former Soviet Republics; Uzbekistan joined in the 1990s but withdrew in 1999; it returned in 2006 but left again in 2012",41 00 N, 64 00 E,239.42 ,235.54  ,235.54  ,5.3% (2017 est.,)7.8% (2016 es.,7.9% (2015 e,"7,000 (2020 est.)","7,000 (2019 est.)6",")6,800 (2018 es",$1.713 billion (2017 est.),384 million (2016 est.),14.52 billion (2020 est.),16.99 billion (2019 et.),Switzerland 19%,16 billion (31 December 2017 est.)14 ,100%,5% ,14.1%, 2013 ,29.6, 2003,"31,104,937 ",23.19," 3,631,693",3456750,16.63,2601803,2481826,45.68,6955260,7006172,8.63%,1245035,7006172,30.1,29.4,30.7,0.83%,15.53,5.41 ,-1.78,50.5%,1.06 ,0.63 ,0.99,18.98,75.29,72.27,78.5 ,1.73 ,16.6%,17.6%,24304756,71% ,2.8,(ar,$3billi2
